start	end	chromosome	name	score
222	774	scaffold_18048	fgenesh1_pg.scaffold_18048000001	0
8	769	scaffold_18061	fgenesh1_pg.scaffold_18061000001	0
334	837	scaffold_18241	fgenesh1_pg.scaffold_18241000001	0
133	896	scaffold_18279	fgenesh1_pg.scaffold_18279000001	0
70	732	scaffold_18289	fgenesh1_pg.scaffold_18289000001	0
542	1000	scaffold_18450	fgenesh1_pg.scaffold_18450000001	0
483	941	scaffold_18482	fgenesh1_pg.scaffold_18482000001	0
46	973	scaffold_18483	fgenesh1_pg.scaffold_18483000001	0
361	900	scaffold_18527	fgenesh1_pg.scaffold_18527000001	0
62	976	scaffold_18534	fgenesh1_pg.scaffold_18534000001	0
53	844	scaffold_18567	fgenesh1_pg.scaffold_18567000001	0
90	747	scaffold_18626	fgenesh1_pg.scaffold_18626000001	0
6	862	scaffold_18652	fgenesh1_pg.scaffold_18652000001	0
198	947	scaffold_18664	fgenesh1_pg.scaffold_18664000001	0
150	926	scaffold_18796	fgenesh1_pg.scaffold_18796000001	0
174	811	scaffold_18802	fgenesh1_pg.scaffold_18802000001	0
522	893	scaffold_18831	fgenesh1_pg.scaffold_18831000001	0
24903	28202	scaffold_599	fgsh_est.C_scaffold_599000001	0
4955	8438	scaffold_1813	fgsh_est.C_scaffold_1813000001	0
57	1649	scaffold_7844	fgsh_est.C_scaffold_7844000001	0
2169	2360	scaffold_9417	fgsh_est.C_scaffold_9417000001	0
23005	28238	scaffold_478	e_gw.478.7.1	0
1202	1821	scaffold_496	e_gw.496.7.1	0
45020	45318	scaffold_510	e_gw.510.6.1	0
90	269	scaffold_651	e_gw.651.1.1	0
41282	41458	scaffold_963	e_gw.963.1.1	0
34784	34954	scaffold_1265	e_gw.1265.2.1	0
17523	18010	scaffold_1477	e_gw.1477.1.1	0
10544	11025	scaffold_1815	e_gw.1815.2.1	0
11157	11370	scaffold_1815	e_gw.1815.4.1	0
7417	7932	scaffold_1842	e_gw.1842.2.1	0
13001	14577	scaffold_2056	e_gw.2056.2.1	0
277	538	scaffold_2099	e_gw.2099.1.1	0
76	836	scaffold_2137	e_gw.2137.2.1	0
11001	11271	scaffold_2153	e_gw.2153.4.1	0
7307	7649	scaffold_2192	e_gw.2192.3.1	0
6134	6432	scaffold_2279	e_gw.2279.3.1	0
171	323	scaffold_2292	e_gw.2292.2.1	0
1393	2647	scaffold_2350	e_gw.2350.1.1	0
11935	12099	scaffold_2539	e_gw.2539.1.1	0
7330	7479	scaffold_2582	e_gw.2582.1.1	0
6479	6658	scaffold_2619	e_gw.2619.1.1	0
1905	2057	scaffold_2723	e_gw.2723.1.1	0
11868	12253	scaffold_2727	e_gw.2727.3.1	0
3549	3844	scaffold_2928	e_gw.2928.2.1	0
9162	9513	scaffold_3031	e_gw.3031.2.1	0
2269	3764	scaffold_3161	e_gw.3161.2.1	0
44	422	scaffold_3529	e_gw.3529.1.1	0
7108	7948	scaffold_4096	e_gw.4096.1.1	0
6575	6724	scaffold_4314	e_gw.4314.1.1	0
967	1143	scaffold_4370	e_gw.4370.1.1	0
606	865	scaffold_4507	e_gw.4507.2.1	0
5594	6209	scaffold_4843	e_gw.4843.1.1	0
3418	4199	scaffold_4864	e_gw.4864.2.1	0
6122	6357	scaffold_5328	e_gw.5328.1.1	0
6798	6956	scaffold_5363	e_gw.5363.1.1	0
789	945	scaffold_5370	e_gw.5370.2.1	0
74	226	scaffold_5710	e_gw.5710.6.1	0
5867	6088	scaffold_5741	e_gw.5741.1.1	0
6233	6744	scaffold_5845	e_gw.5845.1.1	0
5532	6032	scaffold_5914	e_gw.5914.1.1	0
5979	6925	scaffold_5985	e_gw.5985.1.1	0
6194	6343	scaffold_6508	e_gw.6508.1.1	0
2078	2245	scaffold_6889	e_gw.6889.1.1	0
3057	3206	scaffold_6889	e_gw.6889.3.1	0
759	932	scaffold_6976	e_gw.6976.2.1	0
2960	3121	scaffold_7136	e_gw.7136.1.1	0
78	685	scaffold_7275	e_gw.7275.3.1	0
1089	2173	scaffold_7930	e_gw.7930.1.1	0
3050	3211	scaffold_8096	e_gw.8096.1.1	0
3125	3292	scaffold_8140	e_gw.8140.3.1	0
3543	3692	scaffold_8445	e_gw.8445.4.1	0
2491	2753	scaffold_8982	e_gw.8982.4.1	0
2540	2701	scaffold_8997	e_gw.8997.2.1	0
2607	2756	scaffold_9097	e_gw.9097.2.1	0
497	646	scaffold_9210	e_gw.9210.2.1	0
1835	2014	scaffold_9889	e_gw.9889.1.1	0
383	559	scaffold_9901	e_gw.9901.1.1	0
125	340	scaffold_10003	e_gw.10003.2.1	0
117	773	scaffold_11039	e_gw.11039.1.1	0
877	1053	scaffold_11796	e_gw.11796.1.1	0
651	1284	scaffold_12603	e_gw.12603.1.1	0
394	921	scaffold_13776	e_gw.13776.1.1	0
97	312	scaffold_14191	e_gw.14191.1.1	0
899	1072	scaffold_15164	e_gw.15164.1.1	0
152	343	scaffold_16437	e_gw.16437.1.1	0
